ID	Timestamp	User Name	Type	Subtype	Result
9810	Apr 21st 2025 13:42:01	timur	Authentication	Login	Success
9878	Apr 21st 2025 15:04:51	danab	Authentication	Login	Success
9904	Apr 21st 2025 15:36:44	amira	Authentication	Login	Success
9919	Apr 21st 2025 16:52:11	beket	Authentication	Logout	Success
9924	Apr 21st 2025 16:54:59	beket	Authentication	Login	Success
9926	Apr 21st 2025 17:05:57	diyar	Authentication	Login	Success
10044	Apr 21st 2025 20:46:28	aturt	Authentication	Logout	Success
10045	Apr 21st 2025 20:46:57	aturt	Authentication	Login	Success
10047	Apr 22nd 2025 08:39:42	sylta	Authentication	Login	Success
10048	Apr 22nd 2025 08:44:50	beket	Authentication	Login	Success
10049	Apr 22nd 2025 08:50:16	aleksey	Authentication	Login	Success
10050	Apr 22nd 2025 08:51:01	aleksa	Authentication	Login	Success
10059	Apr 22nd 2025 09:09:52	danab	Authentication	Login	Success
10062	Apr 22nd 2025 09:26:15	diyar	Authentication	Login	Success
10348	Apr 22nd 2025 11:57:55	bakyt	Authentication	Login	Success
10349	Apr 22nd 2025 12:01:32	aturt	Authentication	Login	Success
10353	Apr 22nd 2025 12:03:52	timur	Authentication	Login	Success
10402	Apr 22nd 2025 14:34:45	medet	Authentication	Login	Success
10502	Apr 22nd 2025 16:17:31	erzha	Authentication	Login	Success
10512	Apr 22nd 2025 16:45:43	beket	Authentication	Login	Success
10515	Apr 22nd 2025 16:50:57	aleksa	Authentication	Logout	Success
10524	Apr 22nd 2025 17:09:56	danab	Authentication	Logout	Success
10525	Apr 22nd 2025 17:23:04	aleksey	Authentication	Logout	Success
10526	Apr 22nd 2025 17:23:06	aleksey	Authentication	Login	Success
10554	Apr 22nd 2025 20:03:20	aturt	Authentication	Login	Success
10556	Apr 23rd 2025 00:15:30	amira	Authentication	Login	Success
10566	Apr 23rd 2025 07:51:44	rusla	Authentication	Login	Success
10567	Apr 23rd 2025 08:20:38	eldos	Authentication	Login	Success
10570	Apr 23rd 2025 08:37:51	aleksa	Authentication	Login	Success
10579	Apr 23rd 2025 08:54:23	beket	Authentication	Login	Success
10586	Apr 23rd 2025 09:02:42	diyar	Authentication	Login	Success
10627	Apr 23rd 2025 09:54:37	danab	Authentication	Login	Success
10665	Apr 23rd 2025 10:43:34	sylta	Authentication	Login	Success
10757	Apr 23rd 2025 14:26:13	bakyt	Authentication	Login	Success
10778	Apr 23rd 2025 15:26:06	anzhe	Authentication	Login	Success
10827	Apr 23rd 2025 16:21:15	eldos	Authentication	Logout	Success
10828	Apr 23rd 2025 16:21:16	eldos	Authentication	Login	Success
10850	Apr 23rd 2025 16:37:59	aleksa	Authentication	Logout	Success
10875	Apr 23rd 2025 17:32:58	beket	Authentication	Login	Success
10909	Apr 23rd 2025 20:18:57	iliya	Authentication	Login	Success
10911	Apr 24th 2025 06:41:08	iliya	Authentication	Login	Success
10914	Apr 24th 2025 08:48:04	beket	Authentication	Login	Success
10917	Apr 24th 2025 08:56:57	aleksa	Authentication	Login	Success
10948	Apr 24th 2025 09:53:46	igork	Authentication	Login	Success
10953	Apr 24th 2025 10:10:01	danab	Authentication	Login	Success
10964	Apr 24th 2025 10:21:18	timur	Authentication	Login	Success
10968	Apr 24th 2025 10:32:32	anzhe	Authentication	Login	Success
11020	Apr 24th 2025 12:03:49	bakyt	Authentication	Login	Success
11021	Apr 24th 2025 12:05:47	aturt	Authentication	Login	Success
11029	Apr 24th 2025 12:09:47	diyar	Authentication	Logout	Success
11071	Apr 24th 2025 16:03:04	medet	Authentication	Login	Success
11074	Apr 24th 2025 16:15:17	timur	Authentication	Login	Success
11094	Apr 24th 2025 16:50:48	beket	Authentication	Login	Success
11095	Apr 24th 2025 16:57:00	aleksa	Authentication	Logout	Success
11096	Apr 24th 2025 16:57:01	aleksa	Authentication	Logout	Success
11097	Apr 24th 2025 16:57:03	aleksa	Authentication	Login	Success
11100	Apr 24th 2025 16:59:23	diyar	Authentication	Login	Success
11125	Apr 25th 2025 03:21:49	rusla	Authentication	Login	Success
11126	Apr 25th 2025 03:23:41	eldos	Authentication	Login	Success
11128	Apr 25th 2025 08:06:09	amira	Authentication	Login	Success
11135	Apr 25th 2025 08:52:29	beket	Authentication	Login	Success
11136	Apr 25th 2025 08:59:35	aleksa	Authentication	Login	Success
11137	Apr 25th 2025 09:06:56	diyar	Authentication	Login	Success
11145	Apr 25th 2025 09:17:07	diyar	Authentication	Login	Success
11149	Apr 25th 2025 09:31:10	timur	Authentication	Login	Success
11182	Apr 25th 2025 10:43:29	medet	Authentication	Login	Success
11307	Apr 25th 2025 15:59:36	bakyt	Authentication	Login	Success
11317	Apr 25th 2025 16:34:18	amira	Authentication	Login	Success
11318	Apr 25th 2025 16:58:16	beket	Authentication	Login	Success
11359	Apr 26th 2025 00:09:50	iliya	Authentication	Login	Success
11361	Apr 26th 2025 08:17:12	aleksey	Authentication	Login	Success
11397	Apr 27th 2025 00:58:53	amira	Authentication	Login	Success
11399	Apr 27th 2025 08:05:43	eldos	Authentication	Login	Success
11400	Apr 27th 2025 16:05:45	eldos	Authentication	Logout	Success
11401	Apr 27th 2025 20:07:05	aleksey	Authentication	Login	Success
11405	Apr 28th 2025 08:18:22	almas	Authentication	Login	Success
11410	Apr 28th 2025 08:40:21	medet	Authentication	Login	Success
11432	Apr 28th 2025 09:05:35	diyar	Authentication	Login	Success
11450	Apr 28th 2025 09:26:55	iliya	Authentication	Login	Success
11455	Apr 28th 2025 09:34:44	timur	Authentication	Login	Success
11460	Apr 28th 2025 09:41:40	beket	Authentication	Login	Success
11478	Apr 28th 2025 10:09:38	danab	Authentication	Login	Success
11578	Apr 28th 2025 13:40:25	aleksa	Authentication	Login	Success
11587	Apr 28th 2025 14:03:35	anzhe	Authentication	Login	Success
11606	Apr 28th 2025 14:33:41	bakyt	Authentication	Login	Success
11747	Apr 28th 2025 17:15:02	diyar	Authentication	Logout	Success
11751	Apr 28th 2025 17:15:50	diyar	Authentication	Login	Success
11788	Apr 28th 2025 17:48:58	beket	Authentication	Login	Success
11807	Apr 28th 2025 21:52:22	rusla	Authentication	Login	Success
11809	Apr 29th 2025 01:16:26	diyar	Authentication	Logout	Success
11815	Apr 29th 2025 08:50:08	amira	Authentication	Login	Success
11816	Apr 29th 2025 08:50:45	aleksa	Authentication	Login	Success
11817	Apr 29th 2025 08:51:01	beket	Authentication	Login	Success
11818	Apr 29th 2025 08:51:06	igork	Authentication	Login	Success
11836	Apr 29th 2025 09:25:09	timur	Authentication	Login	Success
11842	Apr 29th 2025 09:30:59	danab	Authentication	Login	Success
11871	Apr 29th 2025 09:46:00	diyar	Authentication	Login	Success
11877	Apr 29th 2025 09:48:16	anzhe	Authentication	Login	Success
11941	Apr 29th 2025 11:32:19	medet	Authentication	Login	Success
11997	Apr 29th 2025 12:27:00	yzatk	Authentication	Login	Success
12047	Apr 29th 2025 15:33:37	bakyt	Authentication	Login	Success
12052	Apr 29th 2025 15:38:01	eocal	Authentication	Login	Success
12111	Apr 29th 2025 16:50:58	aleksa	Authentication	Logout	Success
12113	Apr 29th 2025 16:51:00	aleksa	Authentication	Logout	Success
12115	Apr 29th 2025 16:51:01	aleksa	Authentication	Login	Success
12116	Apr 29th 2025 16:51:02	aleksa	Authentication	Login	Success
12117	Apr 29th 2025 16:53:34	beket	Authentication	Login	Success
12145	Apr 29th 2025 17:46:27	diyar	Authentication	Logout	Success
12148	Apr 29th 2025 17:51:36	diyar	Authentication	Login	Success
7675	Apr 2nd 2025 07:02:58	iliya	Authentication	Logout	Success
7676	Apr 2nd 2025 07:11:07	iliya	Authentication	Login	Success
7677	Apr 2nd 2025 08:13:54	aleksey	Authentication	Login	Success
7680	Apr 2nd 2025 08:39:36	medet	Authentication	Login	Success
7681	Apr 2nd 2025 08:40:02	aleksa	Authentication	Login	Success
7691	Apr 2nd 2025 08:58:01	beket	Authentication	Login	Success
7693	Apr 2nd 2025 09:03:58	diyar	Authentication	Login	Success
7708	Apr 2nd 2025 09:58:26	danab	Authentication	Login	Success
7709	Apr 2nd 2025 10:05:19	timur	Authentication	Login	Success
7762	Apr 2nd 2025 16:23:48	bakyt	Authentication	Login	Success
7763	Apr 2nd 2025 17:04:17	diyar	Authentication	Logout	Success
7764	Apr 2nd 2025 17:15:53	diyar	Authentication	Login	Success
7768	Apr 2nd 2025 17:27:57	beket	Authentication	Login	Success
7769	Apr 2nd 2025 17:58:34	danab	Authentication	Logout	Success
7770	Apr 2nd 2025 17:59:30	danab	Authentication	Login	Success
7771	Apr 2nd 2025 20:59:00	amira	Authentication	Login	Success
12177	Apr 30th 2025 08:20:51	aleksey	Authentication	Login	Success
12178	Apr 30th 2025 08:27:43	aleksa	Authentication	Login	Success
12179	Apr 30th 2025 08:49:14	igork	Authentication	Login	Success
12180	Apr 30th 2025 08:54:05	beket	Authentication	Login	Success
12183	Apr 30th 2025 09:00:53	diyar	Authentication	Logout	Success
12184	Apr 30th 2025 09:00:55	diyar	Authentication	Login	Success
12185	Apr 30th 2025 09:02:23	diyar	Authentication	Login	Success
12213	Apr 30th 2025 09:47:33	danab	Authentication	Login	Success
